"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","","~"
"BZ1","1","Buzzer","","","","","~"
"C1,C2,C4,C5,C6,C9","6","100nF","","","","","~"
"C3","1","47uF","","","","","~"
"C7,C8","2","4.7uF","","","","","~"
"J1","1","SD_Card_Module","","","","","http://www.convict.lu/pdf/ProdManualSDCardv1.9.pdf"
"LCD_Nokia1","1","5110","","","","",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","11","10K","","","","","~"
"SW1","1","SW_DPST_x2","","","","","~"
"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10","9","SW_MEC_5E","","","","","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"U1","1","STM32F103C8Tx - MODULE","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
