"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1","1","100nF","","","","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","~"
"C2,C4,C5,C6,C9","5","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C3","1","47uF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"C7,C8","2","4.7uF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~"
"J1","1","SD_Card_Module","","","","microsd:microsd_module","http://www.convict.lu/pdf/ProdManualSDCardv1.9.pdf"
"LCD_Nokia1","1","5110","","","","nokia_5110:PinSocket_1x08_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","11","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","SW_DPST_x2","","","","slidesw:SW_EG1213","~"
"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10","9","SW_MEC_5E","","","","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371"
"U1","1","STM32F103C8Tx - MODULE","","","","STM32:MODULE_ZC323000-with-pinholder","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
